id,type
IL27,cytokine
IMPDH2,protein
ISL2,protein
ITPK1,protein
KANK2,protein
KCNK3,protein
KDSR,protein
KIF15,protein
KIF20A,protein
KIR2DL4,protein
KISS1R,protein
KLF10,protein
KLF11,protein
KLF2,protein
KMT2E,protein
KRT85,protein
KRT86,protein
KRTAP12-1,protein
LIMK1,protein
LONP1,protein
LRRC29,protein
MAGI2,protein
MAP2K2,protein
MAP2K5,protein
MAP4,protein
MAX,protein
MCHR1,protein
MCM7,protein
METTL7B,protein
MGARP,protein
MIR10A,protein
MIR132,protein
MIR142,protein
MIR17HG,protein
MIR212,protein
MIR24-2,protein
MIR92B,protein
MOAP1,protein
MRPS30,protein
MUC16,protein
MVP,protein
NAB2,protein
NDRG1,protein
NDUFB9,protein
NFIC,protein
NFIX,protein
NPBWR1,protein
NR4A1,protein
OSM,protein
PAK6,protein
PAX6,protein
PBX4,protein
PCM1,protein
PDE6B,protein
PENK,protein
PGM2,protein
PNMA1,protein
POLR3E,protein
POU4F1,protein
PPIL2,protein
PPP1R35,protein
PRKACA,protein
PRKCSH,protein
PRKX,protein
PSD3,protein
PTPN13,protein
PTPRO,protein
QRICH1,protein
RAD51,protein
RAPGEF6,protein
RGS11,protein
RNF139,protein
RRAS2,protein
RUNDC3B,protein
SARNP,protein
SEMA3B,protein
SENP1,protein
SERPINB13,protein
SLC15A1,protein
SLC18A1,protein
SLC24A1,protein
SLC45A2,protein
SLC6A12,protein
SLC6A6,protein
SMAD1,protein
SMPD1,protein
SNX25,protein
SOCS1,protein
SORD,protein
SOX5,protein
SS18,protein
SSRP1,protein
STAP1,protein
STC1,protein
SUPT16H,protein
TAF6,protein
TBCA,protein
TCF7,protein
TM2D2,protein
TM9SF2,protein
TMEM74B,protein
TMEM97,protein
TMEM98,protein
TNP2,protein
TOMM22,protein
TRAPPC9,protein
TRPV5,protein
UBP1,protein
VPS35,protein
WT1,protein
ZCWPW1,protein
ZDHHC13,protein
ZNF146,protein
ZNF207,protein
ZNF410,protein
ZNF536,protein
ZNF74,protein
EGR4,protein
HDAC1,protein
EIF1,protein
EIF1B,protein
ENSG00000278815,protein
TYK2,protein
EIF3D,protein
EIF3F,protein
EIF3G,protein
EIF4A1,protein
POLDIP3,protein
SMG1,protein
EIF4B,protein
EIF4ENIF1,protein
MKNK2,protein
LEO1,protein
EIF4G1,protein
EIF4G2,protein
OPTN,protein
ELAC2,protein
GFI1,protein
ENAH,protein
ETV5,protein
FAM105A,protein
FAM46A,protein
FANCE,protein
FCHSD2,protein
FKBP1A,protein
FNDC3A,protein
FOXN2,protein
FXR1,protein
GAL,protein
GCLC,protein
HMG20A,protein
HMOX1,protein
HNRNPA0,protein
IER2,protein
INSIG1,protein
ITPKB,protein
KCTD9,protein
KDM2A,protein
KIF1B,protein
KIF20B,protein
KLHL3,protein
LAMTOR3,protein
LPHN1,protein
LTA4H,protein
MANBAL,protein
MAP4K5,protein
MAPKAPK2,protein
MARCH2,protein
MARVELD2,protein
MDC1,protein
MED20,protein
MPZL1,protein
MSN,protein
NDUFC2,protein
NPLOC4,protein
NUAK1,protein
NUAK2,protein
OCRL,protein
ODF2,protein
OSBPL2,protein
OTULIN,protein
OXSR1,protein
PAPD5,protein
PCGF2,protein
PDCD4,protein
PEX19,protein
PHACTR2,protein
PHTF2,protein
PITPNB,protein
PKN2,protein
PPP2R5E,protein
PPP3CB,protein
PPTC7,protein
PRKAA1,protein
PRPS2,protein
PUM2,protein
RABL2A,protein
RBM15,protein
RERE,protein
RFWD2,protein
RNF149,protein
RYBP,protein
RYK,protein
SAMD1,protein
SDCCAG3,protein
SENP2,protein
SERINC3,protein
SESN3,protein
SHOX2,protein
SLC38A2,protein
SLC39A10,protein
SLC7A1,protein
SNTB2,protein
SNX19,protein
SPOCK1,protein
SPRED1,protein
SPRED2,protein
SPSB1,protein
SRD5A1,protein
SRSF9,protein
STK24,protein
TCEAL8,protein
TIMP3,protein
TMEM2,protein
TMEM38B,protein
TMEM68,protein
TMEM9B,protein
TMTC4,protein
TOB1,protein
TP53TG3,protein
TRERF1,protein
TRIM37,protein
TROAP,protein
TRPC1,protein
TTC33,protein
TUFT1,protein
UBE2H,protein
UBE2J1,protein
UFM1,protein
UHMK1,protein
UHRF1,protein
USP3,protein
UST,protein
WDR45B,protein
YES1,protein
ZBTB33,protein
ZFR,protein
ZMPSTE24,protein
ZNF426,protein
ZNF554,protein
ZNF91,protein
IGF2BP1,protein
ELF4,protein
SNCA,protein
SNCB,protein
ELN,protein
NID2,protein
ELOVL1,protein
ELP2,protein
ELP3,protein
GPS2,protein
LMO7,protein
MYH9,protein
MYO1E,protein
NMI,protein
SPTAN1,protein
EMG1,protein
EMR1,protein
GIPC1,protein
TGFBR1,protein
ENG,protein
TRIP6,protein
ENO2,protein
ENSG00000188223,protein
ERCC5,protein
FOXG1,protein
NR3C2,protein
EPB42,protein
HOPX,protein
EPHA4,protein
EPN2,protein
EPO,protein
EPPK1,protein
HEXIM1,protein
EPSTI1,protein
ERAP2,protein
KCNA5,protein
MAPK12,protein
PDZD2,protein
ITCH,protein
ERBB4,protein
ERC1,protein
ERCC2,protein
ERG,protein
ERLIN1,protein
PEBP1,protein
ERRFI1,protein
PDGFRB,protein
GREB1,protein
PIK3CA,protein
RPS6KA3,protein
TRIM25,protein
NR0B1,protein
MMP3,protein
ETV7,protein
EWSR1,protein
EXOC4,protein
RALA,protein
EXOC2,protein
EXOC3,protein
USHBP1,protein
EXOSC9,protein
KDM5B,protein
ICAM1,protein
ICAM3,protein
VCAM1,protein
F11R,protein
F2,protein
F2R,protein
F2RL1,protein
F8A2,protein
FABP1,protein
NLRP12,protein
FAF1,protein
NLRP7,protein
RHOC,protein
FANCF,protein
FASLG,protein
FYN,protein
FASTKD2,protein
GCC1,protein
FBN1,protein
FBN2,protein
FBXL2,protein
FBXW11,protein
FBXW2,protein
FBXW5,protein
FCER1A,protein
GATA1,protein
GATA2,protein
GABPB1,protein
FCGR2A,protein
FCGRT,protein
FDPS,protein
FDX1,protein
TCEB2,protein
FES,protein
FGA,protein
FGF2,protein
ITGA3,protein
ITGA7,protein
REV1,protein
MZF1,protein
FKBP14,protein
FKBP4,protein
PPP3CA,protein
PSMC1,protein
PADI1,protein
PADI2,protein
PADI3,protein
FLII,protein
FLOT2,protein
ITGAL,protein
FLT1,protein
FLT3,protein
LGALS3BP,protein
HDAC2,protein
FOSL1,protein
NOS2,protein
FOXA1,protein
FOXJ1,protein
FOXO1,protein
TXNIP,protein
YWHAG,protein
PDGFRA,protein
XPO1,protein
FOXP1,protein
GSK3B,protein
FREM1,protein
PRKCD,protein
FST,protein
MMP28,protein
SPINK5,protein
HDAC5,protein
POLR2A,protein
LCMT1,protein
FYB,protein
FYCO1,protein
NPHS1,protein
RUNX3,protein
NDP,protein
TSKU,protein
WNT2B,protein
IL13,cytokine
G3BP1,protein
GAB1,protein
GAB2,protein
OPRK1,protein
GADD45A,protein
GADD45G,protein
GMCL1,protein
GAS6,protein
TYRO3,protein
IL2RA,receptor
OCLN,protein
TIMP1,protein
TJP1,protein
IL5,cytokine
GATA6,protein
GBP1,protein
PRMT1,protein
GCKR,protein
NFE2L2,protein
GDI2,protein
GEMIN4,protein
GEMIN5,protein
GUCY1B3,protein
HMGB2,protein
IPO8,protein
PIAS4,protein
PRDM5,protein
RPS20,protein
SDHB,protein
SYTL1,protein
TIMM50,protein
TTN,protein
ZSCAN22,protein
ZXDC,protein
GGA1,protein
GH1,protein
GIGYF2,protein
GIT2,protein
GK,protein
GLI1,protein
GLI2,protein
GMPS,protein
GNA12,protein
GNA15,protein
RGS14,protein
GNAI2,protein
GPSM1,protein
TTC1,protein
INSR,protein
ITGB5,protein
PTPRM,protein
GNL3,protein
GOLGA3,protein
NLGN1,protein
SSTR5,protein
GP1BA,protein
GPHN,protein
TCEB1,protein
GPR75-ASB3,protein
MLNR,protein
OXTR,protein
TAC1,protein
TAC3,protein
MAP3K7CL,protein
KIT,protein
IL6ST,protein
LAT2,protein
MERTK,protein
PRKAB1,protein
PTK2,protein
PTK2B,protein
SOS1,protein
SOS2,protein
SPRY2,protein
GRHPR,protein
GRIP1,protein
TBXA2R,protein
GRN,protein
NIN,protein
GSPT2,protein
GSR,protein
SNRPA,protein
GTF2E2,protein
GTF2F1,protein
SRF,protein
GUCY1A3,protein
STAB1,protein
GZMA,protein
XRCC6,protein
GZMK,protein
TRAP1,protein
H2AFY,protein
HNF1A,protein
HNF4A,protein
HABP4,protein
HAL,protein
IL1A,protein
HBA1,protein
HBA2,protein
NR2F2,protein
HBEGF,protein
YBX3,protein
HBZ,protein
RBL1,protein
HCLS1,protein
HCST,protein
IGHE,protein
MMP9,protein
MS4A2,protein
ZBTB16,protein
HOXA10,protein
RFXANK,protein
TAGLN,protein
HDGF,protein
HERC6,protein
HERC3,protein
SIRT1,protein
TF,protein
TFR2,protein
HFE,protein
HGS,protein
HIAT1,protein
HIC1,protein
NDRG2,protein
NFKBIB,protein
NOTCH2,protein
OTUB1,protein
RIPK4,protein
TNKS2,protein
HINT1,protein
HIST1H1B,protein
MYSM1,protein
HLA-A,protein
LILRB1,protein
HLA-B,protein
KIR2DL1,protein
HLA-C,protein
HLA-DMA,protein
HLA-DRA,protein
KLRD1,protein
HMGA1,protein
HMGA2,protein
TPSAB1,protein
HMGN4,protein
HMHB1,protein
IGFBP7,protein
LDHA,protein
MRPL15,protein
NPC1L1,protein
RANBP1,protein
SEL1L,protein
SRSF7,protein
STAT6,protein
TM4SF4,protein
VIM,protein
VTN,protein
ZBED3,protein
PAX8,protein
RBP5,protein
SLC37A4,protein
HNRNPA1,protein
HNRNPH1,protein
HNRNPU,protein
PRMT5,protein
MITF,protein
PBX1,protein
HOXC6,protein
HOXC8,protein
HPX,protein
ITSN1,protein
TIAM1,protein
HRG,protein
SUGT1,protein
HSP90AB1,protein
HSP90B1,protein
HSPA14,protein
HSPA1A,protein
PRR5,protein
HSPA5,protein
PGLYRP1,protein
HSPA9,protein
PSMC6,protein
HTRA4,protein
HUWE1,protein
IDO1,protein
IFI16,protein
IFI27,protein
IFI6,protein
KRT18,protein
MED14,protein
IFIT3,protein
IFIT5,protein
IFITM1,protein
IFITM3,protein
IFNA2,cytokine
IFNGR1,cytokine
IFNL1,cytokine
MIR208B,protein
MIR499A,protein
IFNL2,cytokine
IFNL3,cytokine
IFT20,protein
PPP2CB,protein
PPP4C,protein
IGBP1,protein
NCK2,protein
SETDB2,protein
MAN2A2,protein
MYLK2,protein
NIPSNAP3A,protein
PKM,protein
PLP2,protein
PSMB5,protein
PSMC5,protein
SDHAF2,protein
TTR,protein
TXNDC9,protein
USP9X,protein
STAP2,protein
SIKE1,protein
TNIP2,protein
TNIP3,protein
USP7,protein
IL10RA,protein
IL10,cytokine
SPIB,protein
IL11RA,protein
IL11,cytokine
IL12RB1,protein
IL12A,protein
IL23R,protein
STAT4,protein
PUF60,protein
IL2RG,receptor
IL13RA1,protein
IL17A,protein
IL17RC,protein
IL17RB,protein
IL17RA,protein
IL17F,protein
IL25,cytokine
IL18,cytokine
IL18R1,protein
TICAM2,protein
IL20RB,protein
RUNX1T1,protein
IL1R1,receptor
IL1R2,receptor
NDN,protein
IL1RAP,receptor
UMOD,protein
IRAK4,protein
TMED7,protein
IL26,cytokine
IL21,cytokine
IL21R,protein
IL22,cytokine
IL24,cytokine
PELP1,protein
IL3,cytokine
POU2F1,protein
ITGAV,protein
IL32,cytokine
PXN,protein
IL5RA,receptor
POU2F2,protein
TET2,protein
ZFP91,protein
IL7,cytokine
PDIA3,protein
PSME1,protein
PSME2,protein
TUBA3C,protein
TUBA8,protein
TUBB6,protein
IL9,cytokine
IL9R,receptor
XRCC5,protein
TYMS,protein
SOCS7,protein
IP6K2,protein
KDR,protein
S100B,protein
IQUB,protein
IRAK3,protein
PELI1,protein
PELI2,protein
PELI3,protein
RCAN1,protein
SIGIRR,protein
STIP1,protein
UNC5CL,protein
VASP,protein
ISG20,protein
LMO2,protein
MED10,protein
MIR23A,protein
PSMB10,protein
SUB1,protein
TRIM44,protein
NF1,protein
MX1,protein
PPIB,protein
RBCK1,protein
RIOK3,protein
ZNF143,protein
MS4A1,protein
SQLE,protein
SERPINB5,protein
NR1H3,protein
RNF216,protein
KPNA3,protein
KPNA4,protein
KPNA6,protein
IRF9,protein
IRS2,protein
IRS4,protein
KLF9,protein
MLANA,protein
N4BP1,protein
NFE2,protein
SMAD6,protein
LGALS8,protein
ITGA4,protein
ITGA9,protein
ITGAD,protein
SLC3A2,protein
SLC7A6,protein
ITIH4,protein
ITK,protein
ITLN2,protein
ITM2C,protein
MAP3K5,protein
JAK1,protein
JAZF1,protein
JAZF1-AS1,protein
JKAMP,protein
PLK3,protein
KBTBD11,protein
KCNIP3,protein
KCNJ15,protein
KCNJ2,protein
KCNJ6,protein
KCNJ4,protein
KCNQ1,protein
KDM1A,protein
RBMX,protein
PARN,protein
SKIV2L2,protein
KIAA1279,protein
KIF11,protein
KIF3A,protein
SVIL,protein
RUNX2,protein
KLC1,protein
PEF1,protein
KLK13,protein
KLRC3,protein
MEN1,protein
PTPN2,protein
KRAS,protein
KRT15,protein
SLC25A6,protein
KRT31,protein
KRT36,protein
ZFHX3,protein
KRT77,protein
KRT8,protein
KRT81,protein
KRT82,protein
KSR2,protein
RABGEF1,protein
LAPTM5,protein
LCK,protein
LRP2,protein
NFKBIZ,protein
SLC22A17,protein
SKAP1,protein
PDPN,protein
LIMD1,protein
LINC00309,protein
LINC00515,protein
LITAF,protein
LLGL1,protein
PARD3B,protein
LLGL2,protein
LMO1,protein
TNKS,protein
LRRC23,protein
LRRFIP1,protein
LRRFIP2,protein
LRRK1,protein
LTB,protein
TNFRSF14,receptor
LTC4S,protein
LTK,protein
LUC7L,protein
LY86,protein
LYAR,protein
NKX2-8,protein
NTRK3,protein
PDCD6IP,protein
STAG3L1,protein
STAG3L3,protein
MUC1,protein
NMT1,protein
PLAUR,protein
PPP1R8,protein
RPL10,protein
SHC1,protein
LYZ,protein
LZIC,protein
TRIP13,protein
SH2D4A,protein
TCEA2,protein
MAGEB18,protein
MAL,protein
MAP1A,protein
MAP1B,protein
NBR1,protein
MIR497HG,protein
PLCB2,protein
TAOK2,protein
PPM1A,protein
MAP2K6,protein
MAPK8IP2,protein
MAP3K10,protein
MAP3K13,protein
MAP3K2,protein
MAP3K3,protein
STRAP,protein
TPD52L1,protein
TXN,protein
SFN,protein
MAP4K1,protein
ROR2,protein
SIVA1,protein
SKIL,protein
STRADB,protein
TAB3,protein
TAOK1,protein
TNFRSF11A,receptor
WDR34,protein
MAPKAPK5,protein
MAPKAPK3,protein
RPS6KA4,protein
SELE,protein
SREBF2,protein
MAPK8IP1,protein
SERPINB3,protein
WDR62,protein
WWOX,protein
RARG,protein
STAB2,protein
PRR5L,protein
MAPKAP1,protein
PABPC1,protein
MAPT,protein
MARCH5,protein
SCGB3A2,protein
NDFIP1,protein
PLK1,protein
TOMM70A,protein
TRIM14,protein
PQBP1,protein
MBD2,protein
RBBP4,protein
RBBP7,protein
MBP,protein
MCMBP,protein
MCM4,protein
NUDT2,protein
MCM6,protein
MCRS1,protein
PINX1,protein
PGLS,protein
ZBTB25,protein
MDK,protein
TBP,protein
MED1,protein
THRB,protein
MEIS2,protein
WDR4,protein
MICB,protein
NKIRAS2,protein
OGG1,protein
MIR126,protein
MIR130A,protein
MIR16-2,protein
MIR187,protein
MIR203A,protein
SOCS6,protein
NFIA,protein
MIR29A,protein
ZEB2,protein
MIR3125,protein
NFIB,protein
MIR4308,protein
MIR4436A,protein
MIR4475,protein
MIR517A,protein
MIR5192,protein
MLF2,protein
PFN1,protein
MLLT4,protein
RIT2,protein
MLTK,protein
NCOA2,protein
MNAT1,protein
MOGAT1,protein
MORC4,protein
MPO,protein
MRPS18B,protein
MRPS21,protein
MRPS22,protein
MRPS31,protein
MRPS34,protein
MRRF,protein
MSR1,protein
MST1R,protein
MSX1,protein
MT-ND6,protein
MTHFD1,protein
PREX1,protein
PREX2,protein
PRKAR1A,protein
RHEBL1,protein
RPS6KB1,protein
RPTOR,protein
RRAGB,protein
UBQLN1,protein
TFF3,protein
MYBL2,protein
MYCBP2,protein
MYH1,protein
MYH10,protein
MYH14,protein
MYL6,protein
MYLK,protein
RBM10,protein
STK38,protein
NAA15,protein
TXLNA,protein
NAP1L4,protein
STX4,protein
NAT1,protein
UPF1,protein
WBP11,protein
NCF4,protein
NCF2,protein
S100A8,protein
S100A9,protein
NCR3,protein
OLFM4,protein
NDUFA9,protein
NDUFB10,protein
NDUFB6,protein
NDUFS4,protein
NEDD1,protein
NEDD4L,protein
TP53BP1,protein
WHSC1,protein
NEU1,protein
PLSCR1,protein
SLC5A3,protein
TNFSF11,protein
NQO1,protein
PDE8A,protein
TNFAIP2,protein
PSMD11,protein
PPP6R1,protein
PPP6R2,protein
NGFRAP1,protein
NIPA1,protein
NKD2,protein
NKX2-1,protein
NLK,protein
NR1I2,protein
UQCRC2,protein
NMRAL1,protein
NMU,protein
NOLC1,protein
TOP1,protein
NONO,protein
NOP10,protein
NOX1,protein
NOX4,protein
NOXO1,protein
NOXA1,protein
NPRL2,protein
NR4A3,protein
NRBF2,protein
NRG2,protein
NSFL1C,protein
NSUN2,protein
NTRK2,protein
NUCKS1,protein
NUDC,protein
NUMBL,protein
NUP153,protein
OAS2,protein
OFD1,protein
OGDHL,protein
OGN,protein
SULT1E1,protein
OXCT1,protein
PABPC3,protein
PAFAH1B3,protein
PDPK1,protein
PRL,protein
PINK1,protein
PARP14,protein
PAWR,protein
PAX3,protein
PKNOX1,protein
PLAU,protein
PDAP1,protein
PDCD1LG2,protein
PDE4A,protein
PDE6D,protein
RND1,protein
PDE6H,protein
PDGFA,protein
PDS5A,protein
UBA2,protein
SUFU,protein
PFKFB3,protein
PFN2,protein
PGAM1,protein
PGGT1B,protein
PGK1,protein
TREM1,protein
PGLYRP3,protein
PHC2,protein
PHF19,protein
PHGDH,protein
PIK3AP1,protein
PIK3CD,protein
TLR5,receptor
TSHR,protein
WASF3,protein
PRKCA,protein
S100A10,protein
PLCE1,protein
PLD2,protein
PLK4,protein
PLOD3,protein
PLS3,protein
TFG,protein
SEMA7A,protein
POLR2B,protein
PRR7,protein
PSEN2,protein
PTEN,protein
PTGER4,protein
PTH2R,protein
PTTG2,protein
RAB35,protein
RALYL,protein
RARRES3,protein
RBM43,protein
RDH10,protein
RFK,protein
RGS9,protein
RMI2,protein
RNF10,protein
RPS16P5,protein
RPS6KC1,protein
RRP7A,protein
RTP4,protein
SBSPON,protein
SEC11A,protein
SLC9A8,protein
SNORD89,protein
SORL1,protein
TBC1D5,protein
THEM4,protein
TLK1,protein
TMEM132A,protein
TMEM135,protein
TNFSF15,protein
TPCN2,protein
USP18,protein
WAPAL,protein
WDR86-AS1,protein
ZBED5,protein
ZBTB20,protein
ZC3HAV1L,protein
ZNF654,protein
ZNF827,protein
PPFIA1,protein
PPM1G,protein
PPP1R12C,protein
PPP1R14A,protein
PPP6R3,protein
PRC1,protein
PSMB8,protein
RALY,protein
RLIM,protein
SP110,protein
SPC25,protein
TLN1,protein
ZSCAN2,protein
SKI,protein
SLC22A8,protein
WWC1,protein
PRRC2C,protein
PSKH1,protein
PSMA4,protein
PSMC2,protein
PSMD1,protein
PSMD13,protein
PSPC1,protein
PTGDR,protein
TP53I3,protein
PTMA,protein
PTN,protein
PTPRB,protein
PTPRE,protein
PTPRJ,protein
RAB11FIP5,protein
RAD18,protein
RAD23A,protein
SHOC2,protein
RALBP1,protein
RALGDS,protein
RANGAP1,protein
RAP1GDS1,protein
TCEB3,protein
TNFRSF10C,receptor
RAP1B,protein
RAP2A,protein
RARB,protein
RASA1,protein
RASSF7,protein
RBM15B,protein
SREK1,protein
RBP3,protein
RBPMS,protein
RCN3,protein
SREBF1,protein
TFPI2,protein
TOP3B,protein
TXN2,protein
ZBED4,protein
ZFP64,protein
RELN,protein
RRAS,protein
ZNF24,protein
RIN1,protein
RLF,protein
RNF11,protein
RNF20,protein
ROCK2,protein
RXRA,protein
RPAP3,protein
RPL27A,protein
RPL28,protein
RPL3,protein
RPL30,protein
RPL4,protein
RPL5,protein
RPL6,protein
RPLP0,protein
RPSA,protein
RPS27A,protein
RPS6,protein
RPS8,protein
RPS9,protein
RRAGA,protein
TRPV4,protein
SAFB,protein
SCN4A,protein
SEC61B,protein
SELL,protein
SERPING1,protein
VCL,protein
SNX17,protein
SEPT6,protein
SEPT4,protein
SERTAD1,protein
SETD2,protein
SFTPA1,protein
SFTPA2,protein
SIGLEC5,protein
SIGLEC6,protein
SIGLEC7,protein
UVRAG,protein
TEK,protein
SIAH1,protein
SNCAIP,protein
SIAH2,protein
SLC16A7,protein
SLC2A3,protein
SLC6A3,protein
TESC,protein
ZNF512B,protein
SQRDL,protein
SSX1,protein
STX11,protein
STXBP5,protein
SNAPIN,protein
SSTR1,protein
TGFA,protein
SOCS2,protein
TFDP1,protein
SOCS5,protein
TGIF1,protein
SPAG9,protein
SPOP,protein
TKT,protein
SRI,protein
SRSF1,protein
SRSF8,protein
SSB,protein
SSSCA1,protein
TRIM28,protein
STK17B,protein
STMN1,protein
STMN2,protein
STUB1,protein
SUPT5H,protein
TBL1Y,protein
TFF1,protein
USP5,protein
TBC1D27,protein
TBC1D7,protein
USP2,protein
USP10,protein
TCEAL3,protein
TCEAL5,protein
TCEAL6,protein
TRAC,protein
WIPI2,protein
TERF2IP,protein
TGFB3,protein
TGFBRAP1,protein
THOC2,protein
TIAL1,protein
TIFA,protein
VRK3,protein
TRIM32,protein
TRIM56,protein
TMEM37,protein
TNFRSF1B,receptor
TNFSF12,protein
TNFRSF13C,receptor
TNFRSF17,receptor
TNFRSF18,receptor
TNFRSF25,receptor
TNFRSF4,receptor
TNFRSF8,receptor
TNFRSF9,receptor
TNFSF13,protein
TNIK,protein
TOR1AIP1,protein
TP53AIP1,protein
TPM1,protein
TPM2,protein
TPM3,protein
TPM4,protein
USP4,protein
UBE2W,protein
TSC22D4,protein
TTC3,protein
TUBA1A,protein
TUBA1B,protein
TUBA1C,protein
TUBA4A,protein
UBA1,protein
UBAP1,protein
USP14,protein
UTP14A,protein
ZMAT2,protein
UBFD1,protein
UBL7,protein
UBXN1,protein
ZFAND6,protein
UBE2D1,protein
USP15,protein
WRNIP1,protein
VAPA,protein
XCR1,protein
A1BG,protein
NGF,protein
TGFB2,protein
AAAS,protein
AAMP,protein
AANAT,protein
ABCA1,protein
ABCB11,protein
ABCB5,protein
ABCB6,protein
ABCC1,protein
ABCC4,protein
ABCE1,protein
ABCF1,protein
ABCF2,protein
NUDT1,protein
ABI2,protein
ABI3,protein
CSF1,cytokine
ABL2,protein
ABLIM1,protein
ABO,protein
ACAD10,protein
ACAD11,protein
ACAD9,protein
SOX9,protein
GULP1,protein
TFRC,protein
ACAT2,protein
ACE,protein
ACE2,protein
ACER2,protein
ACIN1,protein
ACKR3,protein
CCL21,cytokine
ACLY,protein
ACO2,protein
ACOT8,protein
ACTA1,protein
KHDRBS1,protein
SLC11A1,protein
ACTL7A,protein
ACTN2,protein
ACTN4,protein
C1orf94,protein
NEBL,protein
PLEKHG2,protein
RNF111,protein
SUMO1P1,protein
ACTR1B,protein
ACTR2,protein
ACVR1,protein
ACVR2A,protein
MIR3074,protein
TGFBR3,protein
ACY3,protein
CREBZF,protein
SULT2B1,protein
ADAM10,protein
ADAM15,protein
IL6R,receptor
PRNP,protein
ADAMTS13,protein
ADAMTS4,protein
ADAMTSL1,protein
PRKCE,protein
ADAP2,protein
ADAR,protein
ADARB1,protein
ADAT2,protein
ADCK3,protein
ADD2,protein
ADH1B,protein
ADH4,protein
ADIPOQ,protein
ADK,protein
ADNP,protein
TFCP2,protein
ADRA2B,protein
AGK,protein
AGPS,protein
AIFM1,protein
ALDH18A1,protein
ALDH1B1,protein
ALDH3A2,protein
AMFR,protein
ATP1A1,protein
ATP2A2,protein
ATP2B4,protein
ATP2C1,protein
ATP5C1,protein
ATP5F1,protein
ATP5H,protein
ATP5L,protein
CANX,protein
CNNM3,protein
COMT,protein
DAD1,protein
DDOST,protein
DDX39A,protein
DLAT,protein
DSG2,protein
EEF1B2,protein
EEF1D,protein
EEF1G,protein
ETFB,protein
GCDH,protein
GFM1,protein
GNAI3,protein
HADHB,protein
HNRNPF,protein
HNRNPH2,protein
HSD17B12,protein
HSDL2,protein
IARS2,protein
IDH2,protein
IDH3A,protein
IDH3B,protein
IDH3G,protein
ILVBL,protein
KCNJ3,protein
KCNJ5,protein
KRT1,protein
KRT10,protein
KRT2,protein
KRT5,protein
KRT9,protein
LMNB1,protein
LPCAT1,protein
LRPPRC,protein
MCCC2,protein
MRPL12,protein
MTHFD1L,protein
NDUFA4,protein
NDUFA5,protein
NDUFS2,protein
NDUFS3,protein
NDUFV1,protein
NSF,protein
NUP155,protein
NUP210,protein
NUP93,protein
OAT,protein
PC,protein
PDHA1,protein
PDHB,protein
PDIA6,protein
PHB2,protein
PON2,protein
RAB18,protein
RAN,protein
RANBP2,protein
RPLP1,protein
RPN1,protein
RPN2,protein
RPS5,protein
SDHA,protein
SEC61A1,protein
SERPINH1,protein
SHMT2,protein
SLC25A11,protein
SLC25A13,protein
SLC25A3,protein
SLC25A5,protein
SLC39A14,protein
SLIRP,protein
SPTLC1,protein
SRPRB,protein
SSR4,protein
STK38L,protein
STOML2,protein
SYNJ2BP,protein
TARDBP,protein
TM9SF3,protein
TMEM33,protein
TMX1,protein
UBXN8,protein
UFD1L,protein
VCP,protein
ADRM1,protein
AEBP2,protein
ARHGAP32,protein
BAHD1,protein
BIRC7,protein
C1orf109,protein
C1orf216,protein
C6orf165,protein
CCDC57,protein
CCNJL,protein
CIB3,protein
CPSF7,protein
CRX,protein
DIP2A,protein
EAF1,protein
EIF4E2,protein
FAM124A,protein
FAM124B,protein
FBF1,protein
FOXP2,protein
FRS3,protein
FSD2,protein
GFAP,protein
GOLGA2,protein
GORASP2,protein
HOMEZ,protein
KIFC3,protein
KRT13,protein
KRT40,protein
KRTAP10-3,protein
KRTAP10-7,protein
KRTAP10-8,protein
KRTAP10-9,protein
L3MBTL2,protein
LINC00526,protein
LMO4,protein
LSM2,protein
MAGOHB,protein
MBNL1,protein
MED4,protein
MLX,protein
MORF4L2,protein
MTUS2,protein
MYO15B,protein
NCDN,protein
NEK6,protein
NOTCH2NL,protein
NUDT22,protein
OLIG3,protein
OSGIN1,protein
PARVG,protein
PPP1R16A,protein
PRKAA2,protein
PRPF31,protein
PRR3,protein
QARS,protein
RFX6,protein
RHOXF2,protein
RIMBP3,protein
SCNM1,protein
SNRPC,protein
STK16,protein
TBX3,protein
TMCC2,protein
TRIM26,protein
TRIM41,protein
TSSK3,protein
U2AF2,protein
UBXN11,protein
VPS37B,protein
VPS37C,protein
ZBTB24,protein
ZGPAT,protein
ZNF576,protein
AFAP1L2,protein
AFF2,protein
AFF4,protein
UBE3A,protein
AFG3L2,protein
C1QB,protein
C1QC,protein
S100A12,protein
AGL,protein
APOBEC3G,protein
AGPAT2,protein
AGPAT3,protein
AGTR2,protein
AGTRAP,protein
AGXT,protein
AHCTF1,protein
ANKRD40,protein
APPBP2,protein
C1orf50,protein
AHCYL1,protein
AHI1,protein
AHNAK,protein
CXCL13,cytokine
AIFM3,protein
RCHY1,protein
AIM2,protein
C19orf57,protein
AIP,protein
AIRE,protein
AJAP1,protein
AK1,protein
AK4,protein
AKAP2,protein
AKAP8L,protein
CD40LG,protein
AKNAD1,protein
AKR1B1,protein
ATXN1,protein
FOXO4,protein
METTL1,protein
PDK1,protein
PEA15,protein
SETDB1,protein
SMARCC1,protein
SMARCC2,protein
STK4,protein
TBC1D4,protein
TP53RK,protein
WEE1,protein
